product_id,product_name,category,corpus_scope,total_slots,manual_verified_slots,public_panel_embed_slots,panel_source_candidate_slots,candidate_text_needs_photo_slots,secondary_context_only_slots,source_discovery_needed_slots,publishable_gap_slots,missing_primary_panel_slots,needs_panel_acquisition_slots,top_priority,next_target_vintage,next_action
coca_cola_classic,Coca-Cola Classic,beverages,story_rich_pilot,6,0,0,3,0,3,0,0,3,6,125,Earliest bounded chapter,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
cheerios_original,Cheerios Original,cereal,story_rich_pilot,6,0,0,3,0,2,0,1,2,5,125,Earliest bounded chapter,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,packaged cookies,story_rich_pilot,6,0,0,4,0,1,0,1,1,5,125,1993 label candidate,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
doritos_nacho_cheese,Doritos Nacho Cheese,chips,story_rich_pilot,6,0,0,2,0,4,0,0,4,6,117,Current anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
mcdonalds_big_mac,McDonald's Big Mac,fast food,story_rich_pilot,6,0,0,4,0,2,0,0,2,6,117,Earliest bounded chapter,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,prepared foods,story_rich_pilot,6,0,0,1,0,4,0,1,4,5,117,Current anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,fast food,story_rich_pilot,6,0,0,4,0,1,0,1,1,5,117,Earliest bounded chapter,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,breakfast,story_rich_pilot,6,0,0,2,0,3,0,1,3,5,117,Current anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
campbells_tomato_soup,Campbell's Condensed Tomato Soup,soup,story_rich_pilot,6,0,0,2,0,2,0,2,2,4,117,Current anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
heinz_tomato_ketchup,Heinz Tomato Ketchup,condiments,story_rich_pilot,6,0,0,1,0,3,0,2,3,4,117,Current anchor,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
7up_original,7UP Original,beverages,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
capn_crunch_original,Cap'n Crunch Original,cereal,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
chips_ahoy_original,Chips Ahoy! Original Cookies,cookies,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
cinnamon_toast_crunch,Cinnamon Toast Crunch,cereal,full_corpus_shell,6,0,0,3,0,2,1,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
dinty_moore_beef_stew,Dinty Moore Beef Stew,prepared foods,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
dominos_hand_tossed_pepperoni,Domino's Hand Tossed Pepperoni Pizza,fast food,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
dunkin_glazed_donut,Dunkin' Glazed Donut,fast food,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
gatorade_lemon_lime,Gatorade Lemon-Lime,beverages,full_corpus_shell,6,0,0,2,0,2,2,0,4,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hidden_valley_ranch_original,Hidden Valley Original Ranch,condiments,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
honey_nut_cheerios,Honey Nut Cheerios,cereal,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
hormel_chili_no_beans,Hormel Chili No Beans,prepared foods,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
jello_strawberry_gelatin,Jell-O Strawberry Gelatin,desserts,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
froot_loops,Kellogg's Froot Loops,cereal,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
frosted_flakes,Kellogg's Frosted Flakes,cereal,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
kfc_famous_bowl,KFC Famous Bowl,fast food,full_corpus_shell,6,0,0,3,0,0,3,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
kfc_original_recipe_chicken,KFC Original Recipe Chicken,fast food,full_corpus_shell,6,0,0,2,0,3,1,0,4,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
lucky_charms,Lucky Charms,cereal,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pillsbury_toaster_strudel_strawberry,Pillsbury Toaster Strudel Strawberry,frozen foods,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
pizza_hut_original_pan_pepperoni,Pizza Hut Original Pan Pepperoni Pizza,fast food,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
ritz_original_crackers,Ritz Original Crackers,crackers,full_corpus_shell,6,0,0,4,0,1,1,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
spam_classic,SPAM Classic,meat,full_corpus_shell,6,0,0,4,0,0,2,0,2,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
sprite_original,Sprite Original,beverages,full_corpus_shell,6,0,0,3,0,1,2,0,3,6,57,Earliest label hunt,"Capture a private crop of the ingredient/nutrition/document panel, run native OCR, and batch-review the candidate text."
