batch_id,product_id,product_name,display_lane,source_owner,row_count,ingredient_signal_count,source_discovery_count,max_priority,capture_goal
pilot_capture_baaf233cff47b2,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,panel_capture_needed,www.flickr.com; www.packagingdigest.com; www.seattlepi.com; www.ewg.org; www.kroger.com,12,12,0,140,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_46b8464314eee9,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,panel_capture_needed,www.flickr.com,1,1,0,96,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_3f3514ad61bab2,oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,source_page_capture_needed,www.flickr.com,1,0,0,60,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_39101575279870,doritos_nacho_cheese,Doritos Nacho Cheese,panel_capture_needed,smartlabel.pepsico.info; www.heb.com; wvww.gardengrocer.com; www.kroger.com; www.flickr.com,11,11,0,110,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_20b19a9528d311,cheerios_original,Cheerios Original,panel_capture_needed,www.flickr.com; www.cheerios.com; theimaginaryworld.com; americanhistory.si.edu,9,9,0,118,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_42290c8779ecdd,coca_cola_classic,Coca-Cola Classic,panel_capture_needed,www.flickr.com; www.coca-cola.com; commons.wikimedia.org,7,7,0,118,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_4fe5d7c6cadd15,campbells_tomato_soup,Campbell's Condensed Tomato Soup,panel_capture_needed,www.ingredientinspector.org; www.campbellsfoodservice.com; www.campbells.com; www.flickr.com; commons.wikimedia.org,10,10,0,118,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_b59de1269c103c,campbells_tomato_soup,Campbell's Condensed Tomato Soup,source_page_capture_needed,www.artsbma.org,1,0,0,68,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_bd08fd5c948ebc,heinz_tomato_ketchup,Heinz Tomato Ketchup,panel_capture_needed,www.walmart.com; www.heinz.com; www.henderson-foodservice.com; laurelleaffarm.com; antiqueadvertising.com,7,7,0,110,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_a25841e458dd1c,heinz_tomato_ketchup,Heinz Tomato Ketchup,source_page_capture_needed,www.flickr.com; en.wikipedia.org,3,0,0,68,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_be953f8f61736b,poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,panel_capture_needed,www.poptarts.com; www.foodrepo.org; smartlabel.kelloggs.com; www.walmart.com; www.flickr.com,11,11,0,110,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_361c2525c714f6,kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,panel_capture_needed,giantfood.com; www.super99.com; www.walmart.com; www.flickr.com; www.ebay.com,12,12,0,110,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_1a231caae3ef64,mcdonalds_big_mac,McDonald's Big Mac,panel_capture_needed,www.canceredinstitute.org; www.mcdonalds.com; www.flickr.com,6,6,0,110,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_6555b060f898a1,mcdonalds_big_mac,McDonald's Big Mac,source_page_capture_needed,grist.org,1,0,0,68,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_df6e6e895b5e78,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,panel_capture_needed,s3.amazonaws.com; www.canceredinstitute.org; krissyowens.com; www.mcdonalds.com; www.flickr.com,8,8,0,110,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
pilot_capture_145e3fa3ff33ed,mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,source_page_capture_needed,grist.org,1,0,0,68,Create private captures/crops that can feed native Vision OCR while keeping public pages link-only.
