product_id,product_name,category,corpus_scope,story_status,claim_status,source_backed_slots,total_slots,coverage,verified_labels,candidate_text_chapters,source_receipts,link_only_receipts,public_embeds,source_gaps,public_photo_mode,claim_boundary,next_unlock
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,packaged cookies,story_rich_pilot,confirmed_story_ready,needs_manual_verification,6,6,100,0,2,14,14,0,1,source_receipts_only,1912 original ingredient label not verified. Do not imply a verified original recipe or a full original-to-current formulation diff.,"Review the supplied Flickr screenshots against the source pages, capture higher-resolution label panels where possible, and attach reviewer attribution before comparing ingredients."
doritos_nacho_cheese,Doritos Nacho Cheese,chips,story_rich_pilot,confirmed_story_ready,needs_manual_verification,6,6,100,0,2,11,11,0,0,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
cheerios_original,Cheerios Original,cereal,story_rich_pilot,confirmed_story_ready,needs_manual_verification,5,6,83,0,3,9,9,0,1,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
coca_cola_classic,Coca-Cola Classic,beverages,story_rich_pilot,confirmed_story_ready,needs_manual_verification,6,6,100,0,3,7,7,0,0,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
campbells_tomato_soup,Campbell's Condensed Tomato Soup,soup,story_rich_pilot,confirmed_story_ready,needs_manual_verification,4,6,67,0,2,11,11,0,2,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
heinz_tomato_ketchup,Heinz Tomato Ketchup,condiments,story_rich_pilot,confirmed_story_ready,needs_manual_verification,4,6,67,0,1,10,10,0,2,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,breakfast,story_rich_pilot,confirmed_story_ready,needs_manual_verification,5,6,83,0,2,11,11,0,1,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,prepared foods,story_rich_pilot,confirmed_story_ready,needs_manual_verification,5,6,83,0,1,12,12,0,1,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
mcdonalds_big_mac,McDonald's Big Mac,fast food,story_rich_pilot,confirmed_story_ready,needs_manual_verification,6,6,100,0,3,7,7,0,0,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,fast food,story_rich_pilot,confirmed_story_ready,needs_manual_verification,5,6,83,0,3,9,9,0,1,source_receipts_only,No manual-verified ingredient labels are attached in this pilot snapshot; do not publish definitive formulation diffs.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
chips_ahoy_original,Chips Ahoy! Original Cookies,cookies,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,15,15,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
twinkies,Hostess Twinkies,snack cakes,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,10,10,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
mcdonalds_world_famous_fries,McDonald's World Famous Fries,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,10,10,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
ritz_original_crackers,Ritz Original Crackers,crackers,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,18,18,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
burger_king_whopper,Burger King Whopper,fast food,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,4,4,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
cheez_it_original,Cheez-It Original Crackers,crackers,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
hersheys_milk_chocolate_bar,Hershey's Milk Chocolate Bar,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,14,14,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
honey_nut_cheerios,Honey Nut Cheerios,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,12,12,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
lays_classic,Lay's Classic Potato Chips,chips,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,14,14,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
pepsi_cola,Pepsi Cola,beverages,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
reeses_peanut_butter_cups,Reese's Peanut Butter Cups,candy,full_corpus_shell,full_corpus_selectable,needs_manual_verification,3,6,50,0,0,20,20,0,3,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
campbells_chicken_noodle_soup,Campbell's Chicken Noodle Soup,soup,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,10,10,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
cheetos_crunchy,Cheetos Crunchy,chips,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,15,15,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
corn_flakes,Kellogg's Corn Flakes,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,8,8,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
froot_loops,Kellogg's Froot Loops,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,4,6,67,0,0,11,11,0,2,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
frosted_flakes,Kellogg's Frosted Flakes,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,19,19,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
lucky_charms,Lucky Charms,cereal,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,9,9,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
poptarts_brown_sugar_cinnamon,Pop-Tarts Frosted Brown Sugar Cinnamon,breakfast,full_corpus_shell,full_corpus_selectable,needs_manual_verification,5,6,83,0,0,15,15,0,1,source_receipts_only,Do not publish definitive formulation diffs until source-attributable label text is manually verified.,"Open best source URLs, classify visible panels, archive URLs, and attach verified label text where readable."
