product_id,product_name,source_family,vintage_label,source_url,status,missing_fields,next_action,public_note
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,earliest_verified_label,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Find a source-attributable 1912 package label, catalog scan, archive object, or defensible transcription.",Pilot review row; candidate-only until manual verification.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,1980s_or_earlier,,label_text_candidate,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Confirm the extract against the source image, search for a higher-resolution wrapper/back-panel, and record reviewer attribution.",Pilot review row; candidate-only until manual verification.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,1990s,,label_text_candidate,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Verify the transcription against the source image, capture panel crop, and mark reviewer attribution before comparing formulation changes.",Pilot review row; candidate-only until manual verification.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,2000s,,usable_photo,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Separate variant/package identity, then review panels for ingredient and weight text.",Pilot review row; candidate-only until manual verification.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,2010s,,label_text_candidate,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,Correct/transcribe visible label text and record reviewer attribution.,Pilot review row; candidate-only until manual verification.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,,current_2020s,,label_text_candidate,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Capture durable current label evidence, verify SKU/package context, and attach reviewed ingredient text.",Pilot review row; candidate-only until manual verification.
doritos_nacho_cheese,Doritos Nacho Cheese,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
doritos_nacho_cheese,Doritos Nacho Cheese,,1980s_or_earlier,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
doritos_nacho_cheese,Doritos Nacho Cheese,,1990s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
doritos_nacho_cheese,Doritos Nacho Cheese,,2000s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
doritos_nacho_cheese,Doritos Nacho Cheese,,2010s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
doritos_nacho_cheese,Doritos Nacho Cheese,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
cheerios_original,Cheerios Original,,earliest_verified_label,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
cheerios_original,Cheerios Original,,1980s_or_earlier,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
cheerios_original,Cheerios Original,,1990s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
cheerios_original,Cheerios Original,,2000s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
cheerios_original,Cheerios Original,,2010s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Cheerios Original 2010s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
cheerios_original,Cheerios Original,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
coca_cola_classic,Coca-Cola Classic,,earliest_verified_label,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
coca_cola_classic,Coca-Cola Classic,,1980s_or_earlier,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
coca_cola_classic,Coca-Cola Classic,,1990s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
coca_cola_classic,Coca-Cola Classic,,2000s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
coca_cola_classic,Coca-Cola Classic,,2010s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
coca_cola_classic,Coca-Cola Classic,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,1980s_or_earlier,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,1990s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Campbell's Condensed Tomato Soup 1990s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,2000s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Campbell's Condensed Tomato Soup 2000s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,2010s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
campbells_tomato_soup,Campbell's Condensed Tomato Soup,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
heinz_tomato_ketchup,Heinz Tomato Ketchup,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
heinz_tomato_ketchup,Heinz Tomato Ketchup,,1980s_or_earlier,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
heinz_tomato_ketchup,Heinz Tomato Ketchup,,1990s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Heinz Tomato Ketchup 1990s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
heinz_tomato_ketchup,Heinz Tomato Ketchup,,2000s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
heinz_tomato_ketchup,Heinz Tomato Ketchup,,2010s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Heinz Tomato Ketchup 2010s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
heinz_tomato_ketchup,Heinz Tomato Ketchup,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,,1980s_or_earlier,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,,1990s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Pop-Tarts Frosted Strawberry 1990s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,,2000s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,,2010s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
poptarts_frosted_strawberry,Pop-Tarts Frosted Strawberry,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,1980s_or_earlier,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,1990s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,2000s,,gap_publishable,resolved publishable gap; source-target URLs and queries are queued; no ingredient claim allowed,"Search targeted sources and archive captures for Kraft Macaroni & Cheese Original 2000s bridge evidence; record source owner, date basis, rights note, and panel role.",Pilot review row; candidate-only until manual verification.
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,2010s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
kraft_macaroni_and_cheese_original,Kraft Macaroni & Cheese Original,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels.",Pilot review row; candidate-only until manual verification.
mcdonalds_big_mac,McDonald's Big Mac,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
mcdonalds_big_mac,McDonald's Big Mac,,1980s_or_earlier,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
mcdonalds_big_mac,McDonald's Big Mac,,1990s,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
mcdonalds_big_mac,McDonald's Big Mac,,2000s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
mcdonalds_big_mac,McDonald's Big Mac,,2010s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
mcdonalds_big_mac,McDonald's Big Mac,,current_2020s,,label_text_candidate,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
mcdonalds_chicken_mcnuggets,McDonald's Chicken McNuggets,,earliest_verified_label,,usable_photo,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Open the document sources, record capture dates, scope U.S. formulation, and transcribe only dated ingredient/allergen disclosures.",Pilot review row; candidate-only until manual verification.
