product_id,vintage,label,status,source_count,missing_fields,next_action
oreo_original_chocolate_sandwich_cookies,earliest_verified_label,1912 origin gap,gap,0,source-attributable original label,"Find a source-attributable 1912 package label, catalog scan, archive object, or defensible transcription."
oreo_original_chocolate_sandwich_cookies,1980s_or_earlier,1950s-1960s package lead,label_text_candidate,4,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Confirm the extract against the source image, search for a higher-resolution wrapper/back-panel, and record reviewer attribution."
oreo_original_chocolate_sandwich_cookies,1990s,1993 label candidate,label_text_candidate,1,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Verify the transcription against the source image, capture panel crop, and mark reviewer attribution before comparing formulation changes."
oreo_original_chocolate_sandwich_cookies,2000s,2000s package bridge,usable_photo,2,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Separate variant/package identity, then review panels for ingredient and weight text."
oreo_original_chocolate_sandwich_cookies,2010s,2010s label bridge,label_text_candidate,3,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,Correct/transcribe visible label text and record reviewer attribution.
oreo_original_chocolate_sandwich_cookies,current_2020s,Current SKU anchor,label_text_candidate,6,source-image confirmation; corrected transcription; reviewer attribution; package/serving fields,"Capture durable current label evidence, verify SKU/package context, and attach reviewed ingredient text."
doritos_nacho_cheese,earliest_verified_label,Earliest bounded chapter,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
doritos_nacho_cheese,1980s_or_earlier,1980s or earlier,usable_photo,4,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
doritos_nacho_cheese,1990s,1990s bridge,usable_photo,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
doritos_nacho_cheese,2000s,2000s bridge,usable_photo,1,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
doritos_nacho_cheese,2010s,2010s bridge,label_text_candidate,2,panel crop/document capture; corrected transcription; reviewer attribution; package/serving fields,"Review source images/pages, classify package front/back/panel roles, capture net weight/manufacturer text, and transcribe readable labels."
