product_id,product_name,location,status,observed_text,confidence_note
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,version:early_package_leads,partial label-text candidate,"A delicious creamy sandwich made with sugar, flour, coconut oil, shortening, cocoa, corn flour, non-fat milk solids, chocolate, salt, leavening, and artificial flavor.","Visible terms are useful for review, but this is partial package copy with damaged/clipped text and no complete ingredient panel."
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,version:package_1993,label-text candidate,"INGREDIENTS: SUGAR, ENRICHED WHEAT FLOUR (CONTAINS NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2)), VEGETABLE SHORTENING (PARTIALLY HYDROGENATED SOYBEAN OIL), COCOA (PROCESSED WITH ALKALI), HIGH FRUCTOSE CORN SYRUP, CORN FLOUR, WHEY, CHOCOLATE, BAKING SODA, SALT, SOY LECITHIN (EMULSIFIER), AND VANILLIN--AN ARTIFICIAL FLAVOR.","High-value candidate because the ingredient panel is visible, but the screenshot is compressed and must be checked against the source image before verification."
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,evidence:flickr_oreo_1993,label-text candidate,"INGREDIENTS: SUGAR, ENRICHED WHEAT FLOUR (CONTAINS NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2)), VEGETABLE SHORTENING (PARTIALLY HYDROGENATED SOYBEAN OIL), COCOA (PROCESSED WITH ALKALI), HIGH FRUCTOSE CORN SYRUP, CORN FLOUR, WHEY, CHOCOLATE, BAKING SODA, SALT, SOY LECITHIN (EMULSIFIER), AND VANILLIN--AN ARTIFICIAL FLAVOR.",Readable but screenshot-compressed; verify against the source image before manual verification.
oreo_original_chocolate_sandwich_cookies,Oreo Original Chocolate Sandwich Cookies,evidence:flickr_oreo_1960s,partial label-text candidate,"A delicious creamy sandwich made with sugar, flour, coconut oil, shortening, cocoa, corn flour, non-fat milk solids, chocolate, salt, leavening, and artificial flavor.","Partial package copy, not a complete ingredient statement; higher-resolution image or back-panel evidence needed."
doritos_nacho_cheese,Doritos Nacho Cheese,evidence:doritos_nacho_cheese_evidence_7,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
doritos_nacho_cheese,Doritos Nacho Cheese,evidence:doritos_nacho_cheese_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
doritos_nacho_cheese,Doritos Nacho Cheese,evidence:doritos_nacho_cheese_evidence_9,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
doritos_nacho_cheese,Doritos Nacho Cheese,evidence:doritos_nacho_cheese_evidence_10,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",verify_package_front_or_primary_image
cheerios_original,Cheerios Original,evidence:cheerios_original_evidence_1,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",transcribe_visible_ingredient_label
cheerios_original,Cheerios Original,evidence:cheerios_original_evidence_8,label-text candidate,"Readable source candidate. Open the linked source, capture a panel crop, and transcribe only the visible label text.",capture_manufacturer_or_distributor_text
